_RID,id,text_input,cluster
395,90668851,Fex,
396,90663833,Fhj,
397,90679982,Finanzennero,Finanzen.net Zero
398,90678119,finanzen.net,Finanzen.net Zero
399,90670106,finanzen.net,Finanzen.net Zero
400,90670228,Finanzen.net,Finanzen.net Zero
401,90671144,finanzen.net zero,Finanzen.net Zero
402,90672526,finanzen.net zero,Finanzen.net Zero
403,90675345,Finanzen.net Zero,Finanzen.net Zero
404,90682095,Finanzenzero,Finanzen.net Zero
405,90668000,Finanzen zero net,Finanzen.net Zero
406,90669208,Fjnchj,
407,90684791,flatex,Flatex
408,90673350,flatex,Flatex
409,90681817,flat ex,Flatex
410,90685805,Flatex,Flatex
411,90670862,Flatex,Flatex
412,90675474,Flatex,Flatex
413,90682576,Flatex,Flatex
414,90661303,Flatex,Flatex
415,90664095,Flatex,Flatex
416,90678092,Flatex,Flatex
417,90673580,Flatex,Flatex
418,90673809,Flatex,Flatex
419,90665899,Flatex,Flatex
420,90683575,Flatex,Flatex
421,90670277,Flatex,Flatex
422,90663672,Flatex,Flatex
423,90684374,Fond,
424,90682655,FONDMAN,
425,90671978,Forex,Forex
426,90679203,Forex,Forex
427,90665479,Forex,Forex
428,90669541,Frankfurt,Börse Frankfurt
429,90676190,Frankfurt Börse,Börse Frankfurt
430,90680020,Frankfurter Fond Bank,
431,90685954,ftx,Ftx
432,90665701,Ftx,Ftx
433,90663981,Ftx trade,Ftx
434,90676069,Games,
435,90667632,gar keins,
436,90677831,Gau,
437,90662575,Geld verlieren,
438,90670582,German Brokernet,
439,90661757,Gibt keine,keine
440,90671674,google,Google
441,90671231,Google,Google
442,90665851,Google,Google
443,90669129,Google,Google
444,90674336,Growny,
445,90663236,gut,gut
446,90669403,gut,gut
447,90670343,Gut,gut
448,90674684,Habe keine Ahnung,Keine Ahnung
449,90685686,hamburger volksbank,Volksbank
450,90673880,Haspa,
451,90678691,hausbank,Hausbank
452,90675915,Hausbank,Hausbank
453,90673389,Hausbank,Hausbank
454,90675008,Hausbank,Hausbank
455,90685020,hgjkjhggjh,
456,90673371,hier,
457,90678004,HuK,
458,90661804,i0,
459,90684360,ich kenn da keine,keine
460,90674558,ich kenne keinen,keine
461,90673249,Ich kenne keinen,keine
462,90672721,Ich kenne noch keine,keine
463,90672948,Ich kenn mich da nicht aus,
464,90681145,Ich weis nicht,Weiß nicht
465,90676682,Ich weiß es nicht genau,Weiß nicht
466,90666457,ich weiss nicht,Weiß nicht
467,90679383,IC markets,
468,90683427,Idk,
469,90663218,Igenius,
470,90684409,I love you and I miss you so much and I hope you,
471,90679999,in der regel meine hausbank,
472,90673625,ing,ING
473,90679246,ing,ING
474,90682275,ing,ING
475,90662302,ing,ING
476,90679083,ing,ING
477,90684171,ing,ING
478,90673961,ing,ING
479,90679277,Ing,ING
480,90676315,Ing,ING
481,90670250,Ing,ING
482,90683611,Ing,ING
483,90671714,Ing,ING
484,90667508,Ing,ING
485,90665602,Ing,ING
486,90680435,Ing,ING
487,90664399,Ing,ING
488,90664066,Ing,ING
489,90663858,Ing,ING
490,90662957,Ing,ING
491,90662659,Ing,ING
492,90669332,ING,ING
493,90685168,ING,ING
494,90679028,ING,ING
495,90672449,ING,ING
496,90673034,ING,ING
497,90678873,ING,ING
498,90685647,ING,ING
499,90680743,ING,ING
500,90681691,ING,ING
501,90662362,ING,ING
502,90678562,ING,ING
503,90681293,ING,ING
504,90670999,ING,ING
505,90663170,ING,ING
