,id,text_input,cluster
1566,90679248,sparkasse,
1567,90665124,Sparkasse,
1568,90661327,Sparkasse,
1569,90683548,Sparkasse,
1570,90667748,Sparkasse,
1571,90667373,Swissquote,
1572,90663093,Telekom,
1573,90682347,Tesla,
1574,90671899,Tesla,
1575,90669210,Tikgukz,
1576,90666211,Tradegate,
1577,90668830,Trader,
1586,90674930,union investment,
1587,90685807,Union Investment,
1588,90671603,uzio,
1590,90676863,VmWare,
1591,90679279,Volksbank,
1592,90666125,Weiß nicht,
1593,90682704,xtb,
1595,90684425,Zfugiv,
1596,90665184,Zzz,
1597,90682025,,
